Id,LotFrontage,LotArea,Alley,MasVnrArea,1stFlrSF,2ndFlrSF,GrLivArea,GarageType,GarageArea,SalePrice
1,65,8450,NA,196,856,854,1710,Attchd,548,208500
2,80,9600,NA,0,1262,0,1262,Attchd,460,181500
3,68,11250,NA,162,920,866,1786,Attchd,608,223500
4,60,9550,NA,0,961,756,1717,Detchd,642,140000
5,84,14260,NA,350,1145,1053,2198,Attchd,836,250000
6,85,14115,NA,0,796,566,1362,Attchd,480,143000
7,75,10084,NA,186,1694,0,1694,Attchd,636,307000
8,NA,10382,NA,240,1107,983,2090,Attchd,484,200000
9,51,6120,NA,0,1022,752,1774,Detchd,468,129900
10,50,7420,NA,0,1077,0,1077,Attchd,205,118000
11,70,11200,NA,0,1040,0,1040,Detchd,384,129500
12,85,11924,NA,286,1182,1142,2324,BuiltIn,736,345000
13,NA,12968,NA,0,912,0,912,Detchd,352,144000
14,91,10652,NA,306,1494,0,1494,Attchd,840,279500
15,NA,10920,NA,212,1253,0,1253,Attchd,352,157000
16,51,6120,NA,0,854,0,854,Detchd,576,132000
17,NA,11241,NA,180,1004,0,1004,Attchd,480,149000
18,72,10791,NA,0,1296,0,1296,CarPort,516,90000
19,66,13695,NA,0,1114,0,1114,Detchd,576,159000
20,70,7560,NA,0,1339,0,1339,Attchd,294,139000
21,101,14215,NA,380,1158,1218,2376,BuiltIn,853,325300
22,57,7449,Grvl,0,1108,0,1108,Attchd,280,139400
23,75,9742,NA,281,1795,0,1795,Attchd,534,230000
24,44,4224,NA,0,1060,0,1060,Attchd,572,129900
25,NA,8246,NA,0,1060,0,1060,Attchd,270,154000
26,110,14230,NA,640,1600,0,1600,Attchd,890,256300
27,60,7200,NA,0,900,0,900,Detchd,576,134800
28,98,11478,NA,200,1704,0,1704,Attchd,772,306000
29,47,16321,NA,0,1600,0,1600,Attchd,319,207500
30,60,6324,NA,0,520,0,520,Detchd,240,68500
31,50,8500,Pave,0,649,668,1317,Detchd,250,40000
32,NA,8544,NA,0,1228,0,1228,Attchd,271,149350
33,85,11049,NA,0,1234,0,1234,Attchd,484,179900
34,70,10552,NA,0,1700,0,1700,Attchd,447,165500
35,60,7313,NA,246,1561,0,1561,Attchd,556,277500
36,108,13418,NA,132,1132,1320,2452,BuiltIn,691,309000
37,112,10859,NA,0,1097,0,1097,Attchd,672,145000
38,74,8532,NA,650,1297,0,1297,Attchd,498,153000
39,68,7922,NA,0,1057,0,1057,Detchd,246,109000
40,65,6040,NA,0,1152,0,1152,NA,0,82000
41,84,8658,NA,101,1324,0,1324,Attchd,440,160000
42,115,16905,NA,0,1328,0,1328,Attchd,308,170000
43,NA,9180,NA,0,884,0,884,Attchd,504,144000
44,NA,9200,NA,0,938,0,938,Detchd,308,130250
45,70,7945,NA,0,1150,0,1150,Attchd,300,141000
46,61,7658,NA,412,1752,0,1752,Attchd,576,319900
47,48,12822,NA,0,1518,631,2149,Attchd,670,239686
48,84,11096,NA,0,1656,0,1656,Attchd,826,249700
49,33,4456,NA,0,736,716,1452,NA,0,113000
50,66,7742,NA,0,955,0,955,Attchd,386,127000
51,NA,13869,NA,0,794,676,1470,Attchd,388,177000
52,52,6240,NA,0,816,0,1176,Detchd,528,114500
53,110,8472,NA,0,816,0,816,CarPort,516,110000
54,68,50271,NA,0,1842,0,1842,Attchd,894,385000
55,60,7134,NA,0,1360,0,1360,Detchd,572,130000
56,100,10175,NA,272,1425,0,1425,Attchd,576,180500
57,24,2645,Pave,456,983,756,1739,Attchd,480,172500
58,89,11645,NA,0,860,860,1720,Attchd,565,196500
59,66,13682,NA,1031,1426,1519,2945,BuiltIn,641,438780
60,60,7200,NA,0,780,0,780,Detchd,352,124900
61,63,13072,NA,0,1158,0,1158,Detchd,576,158000
62,60,7200,NA,0,581,530,1111,Detchd,288,101000
63,44,6442,NA,178,1370,0,1370,Attchd,484,202500
64,50,10300,NA,0,902,808,1710,Detchd,480,140000
65,NA,9375,NA,573,1057,977,2034,Attchd,645,219500
66,76,9591,NA,344,1143,1330,2473,BuiltIn,852,317000
67,NA,19900,NA,287,2207,0,2207,Attchd,576,180000
68,72,10665,NA,167,1479,0,1479,Attchd,558,226000
69,47,4608,NA,0,747,0,747,Attchd,220,80000
70,81,15593,NA,0,1304,983,2287,Attchd,667,225000
71,95,13651,NA,1115,2223,0,2223,Attchd,516,244000
72,69,7599,NA,0,845,0,845,Detchd,360,129500
73,74,10141,NA,40,885,833,1718,Attchd,427,185000
74,85,10200,NA,104,1086,0,1086,Attchd,490,144900
75,60,5790,NA,0,840,765,1605,Detchd,379,107400
76,21,1596,NA,0,526,462,988,BuiltIn,297,91000
77,NA,8475,NA,0,952,0,952,Detchd,283,135750
78,50,8635,NA,0,1072,213,1285,Detchd,240,127000
79,72,10778,NA,0,1768,0,1768,NA,0,136500
80,60,10440,Grvl,0,682,548,1230,Detchd,440,110000
81,100,13000,NA,576,1182,960,2142,Attchd,509,193500
82,32,4500,NA,443,1337,0,1337,Attchd,405,153500
83,78,10206,NA,468,1563,0,1563,Attchd,758,245000
84,80,8892,NA,66,1065,0,1065,Detchd,461,126500
85,NA,8530,NA,22,804,670,1474,BuiltIn,400,168500
86,121,16059,NA,284,1301,1116,2417,Attchd,462,260000
87,122,11911,NA,0,684,876,1560,BuiltIn,400,174000
88,40,3951,Pave,76,612,612,1224,Detchd,528,164500
89,105,8470,NA,0,1013,0,1526,NA,0,85000
90,60,8070,NA,0,990,0,990,NA,0,123600
91,60,7200,NA,0,1040,0,1040,Detchd,420,109900
92,85,8500,NA,203,1235,0,1235,Attchd,480,98600
93,80,13360,Grvl,0,964,0,964,Detchd,432,163500
94,60,7200,NA,0,1260,1031,2291,Detchd,506,133900
95,69,9337,NA,0,905,881,1786,Attchd,684,204750
96,NA,9765,NA,68,680,790,1470,BuiltIn,420,185000
97,78,10264,NA,183,1588,0,1588,Attchd,472,214000
98,73,10921,NA,48,960,0,960,Attchd,432,94750
99,85,10625,NA,0,835,0,835,Basment,366,83000
100,77,9320,NA,0,1225,0,1225,NA,0,128950
101,NA,10603,NA,28,1610,0,1610,Attchd,480,205000
102,77,9206,NA,336,977,755,1732,Attchd,476,178000
103,64,7018,NA,0,1535,0,1535,Attchd,410,118964
104,94,10402,NA,0,1226,0,1226,Attchd,740,198900
105,NA,7758,NA,600,1226,592,1818,Detchd,240,169500
106,75,9375,NA,768,1053,939,1992,Attchd,648,250000
107,60,10800,Grvl,0,1047,0,1047,Detchd,273,100000
108,50,6000,NA,0,789,0,789,Detchd,250,115000
109,85,8500,NA,0,997,520,1517,NA,0,115000
110,105,11751,NA,480,1844,0,1844,Attchd,546,190000
111,75,9525,NA,0,1216,639,1855,Attchd,325,136900
112,NA,7750,NA,0,774,656,1430,BuiltIn,400,180000
113,77,9965,NA,220,1282,1414,2696,BuiltIn,792,383970
114,NA,21000,NA,184,2259,0,2259,Basment,450,217000
115,61,7259,NA,0,1436,884,2320,Detchd,180,259500
116,34,3230,Pave,1129,729,729,1458,Detchd,440,176000
117,NA,11616,NA,116,1092,0,1092,Attchd,288,139000
118,74,8536,NA,0,1125,0,1125,Attchd,430,155000
119,90,12376,NA,0,1699,1523,3222,Attchd,594,320000
120,65,8461,NA,0,728,728,1456,Attchd,390,163990
121,NA,21453,NA,0,988,0,988,Attchd,540,180000
122,50,6060,NA,0,772,351,1123,Detchd,264,100000
123,75,9464,NA,135,1080,0,1080,Attchd,288,136000
124,55,7892,NA,0,1199,0,1199,Attchd,530,153900
125,48,17043,NA,0,1586,0,1586,Attchd,435,181000
126,60,6780,NA,0,520,0,754,NA,0,84500
127,NA,4928,NA,0,958,0,958,Attchd,440,128000
128,55,4388,NA,0,840,0,840,NA,0,87000
129,69,7590,NA,266,660,688,1348,Attchd,453,155000
130,69,8973,NA,85,1053,0,1053,2Types,750,150000
131,88,14200,NA,309,1216,941,2157,Attchd,487,226000
132,NA,12224,NA,40,1022,1032,2054,BuiltIn,390,244000
133,75,7388,NA,0,1327,0,1327,Detchd,624,150750
134,NA,6853,NA,136,1296,0,1296,Attchd,471,220000
135,78,10335,NA,0,1721,0,1721,Attchd,440,180000
136,80,10400,NA,288,1682,0,1682,Attchd,530,174000
137,NA,10355,NA,196,1214,0,1214,Attchd,318,143000
138,82,11070,NA,70,1959,0,1959,2Types,766,171000
139,73,9066,NA,320,1004,848,1852,Attchd,660,230000
140,65,15426,NA,0,928,836,1764,Attchd,470,231500
141,70,10500,NA,0,864,0,864,NA,0,115000
142,78,11645,NA,0,1734,0,1734,Attchd,660,260000
143,71,8520,NA,0,910,475,1385,Detchd,720,166000
144,78,10335,NA,183,1501,0,1501,Attchd,577,204000
145,70,9100,NA,336,1728,0,1728,Detchd,504,125000
146,24,2522,NA,50,970,739,1709,Detchd,380,130000
147,51,6120,NA,0,875,0,875,Detchd,180,105000
148,NA,9505,NA,180,884,1151,2035,BuiltIn,434,222500
149,63,7500,NA,120,1080,0,1080,NA,0,141000
150,NA,6240,NA,0,896,448,1344,Detchd,240,115000
151,120,10356,NA,0,969,0,969,Attchd,440,122000
152,107,13891,NA,436,1710,0,1710,Attchd,866,372402
153,NA,14803,NA,252,1097,896,1993,Attchd,495,190000
154,NA,13500,NA,0,1252,0,1252,Attchd,564,235000
155,84,11340,NA,0,1200,0,1200,Detchd,312,125000
156,60,9600,NA,0,572,524,1096,NA,0,79000
157,60,7200,NA,0,1040,0,1040,Detchd,625,109500
158,92,12003,NA,84,774,1194,1968,BuiltIn,680,269500
159,100,12552,NA,0,991,956,1947,Attchd,678,254900
160,134,19378,NA,456,1392,1070,2462,Attchd,576,320000
161,NA,11120,NA,0,1232,0,1232,Attchd,516,162500
162,110,13688,NA,664,1572,1096,2668,BuiltIn,726,412500
163,95,12182,NA,226,1541,0,1541,Attchd,532,220000
164,55,5500,NA,0,882,0,882,NA,0,103200
165,40,5400,Pave,0,1149,467,1616,Detchd,216,152000
166,62,10106,NA,0,808,547,1355,NA,0,127500
167,NA,10708,NA,0,1867,0,1867,Attchd,303,190000
168,86,10562,NA,300,1610,551,2161,Attchd,789,325624
169,62,8244,NA,0,840,880,1720,Attchd,440,183500
170,NA,16669,NA,653,1707,0,1707,Attchd,511,228000
171,NA,12358,NA,0,854,0,1382,Detchd,660,128500
172,141,31770,NA,112,1656,0,1656,Attchd,528,215000
173,44,5306,NA,0,1064,703,1767,Attchd,504,239000
174,80,10197,NA,491,1362,0,1362,Attchd,504,163000
175,47,12416,NA,132,1651,0,1651,Attchd,616,184000
176,84,12615,NA,0,2158,0,2158,Attchd,576,243000
177,97,10029,NA,268,1164,896,2060,Attchd,521,211000
178,NA,13650,NA,0,1252,668,1920,Attchd,451,172500
179,63,17423,NA,748,2234,0,2234,Attchd,1166,501837
180,60,8520,NA,0,968,0,968,Detchd,480,100000
181,NA,2117,NA,456,769,756,1525,Detchd,440,177000
182,54,7588,NA,0,901,901,1802,Detchd,216,200100
183,60,9060,NA,98,1340,0,1340,Attchd,252,120000
184,63,11426,NA,0,1362,720,2082,Detchd,484,200000
185,92,7438,NA,0,936,316,1252,Attchd,576,127000
186,90,22950,NA,0,1518,1518,3608,Detchd,840,475000
187,NA,9947,NA,0,1217,0,1217,Attchd,497,173000
188,60,10410,NA,0,808,704,1656,Detchd,180,135000
189,64,7018,NA,275,1224,0,1224,Detchd,528,153337
190,41,4923,NA,0,1593,0,1593,Attchd,682,286000
191,70,10570,NA,0,1549,1178,2727,Detchd,440,315000
192,NA,7472,NA,138,725,754,1479,Attchd,484,184000
193,68,9017,NA,0,1431,0,1431,Attchd,666,192000
194,24,2522,NA,50,970,739,1709,Detchd,380,130000
195,60,7180,NA,0,864,0,864,Detchd,352,127000
196,24,2280,NA,0,855,601,1456,Attchd,440,148500
197,79,9416,NA,205,1726,0,1726,Attchd,786,311872
198,174,25419,NA,0,1360,1360,3112,Detchd,795,235000
199,92,5520,NA,0,929,929,2229,NA,0,104000
200,76,9591,NA,262,1713,0,1713,Attchd,856,274900
201,80,8546,NA,0,1121,0,1121,Attchd,440,140000
202,75,10125,NA,0,1279,0,1279,Detchd,473,171500
203,50,7000,NA,0,865,445,1310,Attchd,398,112000
204,NA,4438,NA,205,848,0,848,Attchd,420,149000
205,50,3500,Grvl,0,720,564,1284,Detchd,240,110000
206,99,11851,NA,0,1442,0,1442,Attchd,500,180500
207,40,13673,NA,0,1696,0,1696,Attchd,349,143900
208,NA,12493,NA,0,1100,0,1100,Attchd,312,141000
209,NA,14364,NA,128,1180,882,2062,Attchd,454,277000
210,75,8250,NA,260,1092,0,1092,Attchd,504,145000
211,67,5604,NA,0,864,0,864,NA,0,98000
212,83,10420,NA,0,1212,0,1212,Attchd,460,186000
213,72,8640,NA,0,932,920,1852,Attchd,644,252678
214,43,13568,NA,0,990,0,990,Attchd,576,156000
215,NA,10900,NA,153,689,703,1392,Attchd,299,161750
216,72,10011,NA,64,1236,0,1236,Attchd,447,134450
217,65,8450,NA,266,1436,0,1436,Attchd,484,210000
218,57,9906,Grvl,0,810,518,1328,Detchd,210,107000
219,NA,15660,NA,312,1137,817,1954,Attchd,431,311500
220,43,3010,NA,16,1248,0,1248,Attchd,438,167240
221,73,8990,NA,0,1498,0,1498,Attchd,675,204900
222,NA,8068,NA,0,1010,1257,2267,BuiltIn,390,200000
223,85,11475,NA,0,811,741,1552,Attchd,434,179900
224,70,10500,NA,0,864,0,864,Detchd,576,97000
225,103,13472,NA,922,2392,0,2392,Attchd,968,386250
226,21,1680,NA,142,630,672,1302,Detchd,280,112000
227,82,9950,NA,290,1214,1306,2520,Attchd,721,290000
228,21,1869,NA,127,483,504,987,Detchd,280,106000
229,70,8521,NA,0,912,0,912,Detchd,336,125000
230,43,3182,NA,16,1555,0,1555,Attchd,430,192500
231,73,8760,NA,220,1194,0,1194,Attchd,312,148000
232,174,15138,NA,506,1490,1304,2794,Attchd,810,403000
233,21,1680,NA,297,483,504,987,Attchd,288,94500
234,75,10650,NA,0,894,0,894,Attchd,308,128200
235,NA,7851,NA,NA,860,1100,1960,BuiltIn,440,216500
236,21,1680,NA,604,483,504,987,Detchd,264,89500
237,65,8773,NA,98,1414,0,1414,Attchd,494,185500
238,NA,9453,NA,0,1014,730,1744,Attchd,457,194500
239,93,12030,NA,254,1694,0,1694,Attchd,818,318000
240,52,8741,NA,0,798,689,1487,Detchd,220,113000
241,75,9000,NA,36,1566,0,1566,Attchd,750,262500
242,40,3880,NA,0,866,0,866,NA,0,110500
243,63,5000,NA,0,889,551,1440,Attchd,352,79000
244,75,10762,NA,0,626,591,1217,Attchd,288,120000
245,NA,8880,NA,0,1222,888,2110,Attchd,463,205000
246,80,10400,NA,102,1872,0,1872,Attchd,604,241500
247,69,9142,Grvl,0,908,1020,1928,Detchd,440,137000
248,75,11310,NA,0,1375,0,1375,Attchd,451,140000
249,72,11317,NA,101,840,828,1668,Attchd,500,180000
250,NA,159000,NA,472,1444,700,2144,Attchd,389,277000
251,55,5350,NA,0,1306,0,1306,NA,0,76500
252,44,4750,NA,481,1625,0,1625,Attchd,538,235000
253,65,8366,NA,0,798,842,1640,Attchd,520,173000
254,85,9350,NA,108,1302,0,1302,Attchd,309,158000
255,70,8400,NA,0,1314,0,1314,Attchd,294,145000
256,66,8738,NA,302,1005,1286,2291,BuiltIn,429,230000
257,64,8791,NA,0,864,864,1728,Attchd,673,207500
258,68,8814,NA,180,1604,0,1604,Attchd,660,220000
259,80,12435,NA,172,963,829,1792,Attchd,564,231500
260,70,12702,NA,0,882,0,882,Detchd,308,97000
261,120,19296,NA,399,1382,0,1382,Attchd,884,176000
262,69,9588,NA,270,1482,1092,2574,BuiltIn,868,276000
263,88,8471,NA,46,1212,0,1212,Attchd,492,151000
264,50,5500,NA,0,926,0,1316,Detchd,484,130000
265,30,5232,Grvl,0,764,0,764,Detchd,504,73000
266,78,12090,NA,210,1422,0,1422,Attchd,576,175500
267,70,11207,NA,0,802,709,1511,Attchd,413,185000
268,60,8400,NA,0,1052,720,2192,Detchd,240,179500
269,71,6900,NA,0,778,0,778,Detchd,924,120500
270,NA,7917,NA,174,1113,0,1113,Attchd,504,148000
271,84,10728,NA,0,1095,844,1939,Attchd,1053,266000
272,73,39104,NA,0,1363,0,1363,Attchd,439,241500
273,92,11764,NA,348,1164,1106,2270,Attchd,671,290000
274,80,9600,NA,183,1632,0,1632,Attchd,338,139000
275,76,8314,NA,0,816,0,816,Attchd,264,124500
276,55,7264,NA,0,952,596,1548,Detchd,672,205000
277,129,9196,NA,0,1560,0,1560,Attchd,573,201000
278,140,19138,NA,0,864,0,864,Detchd,400,141000
279,107,14450,NA,315,2121,0,2121,Attchd,732,415298
280,83,10005,NA,299,1156,866,2022,Attchd,505,192000
281,82,11287,NA,340,1175,807,1982,Attchd,575,228500
282,60,7200,Pave,68,1262,0,1262,Attchd,572,185000
283,34,5063,NA,166,1314,0,1314,Attchd,626,207500
284,74,9612,NA,72,1468,0,1468,Attchd,898,244600
285,50,8012,NA,0,1575,0,1575,Attchd,529,179200
286,35,4251,Pave,0,625,625,1250,Detchd,528,164700
287,77,9786,NA,0,1085,649,1734,Attchd,440,159000
288,NA,8125,NA,0,858,0,858,NA,0,88000
289,NA,9819,NA,31,900,0,900,Detchd,280,122000
290,60,8730,NA,0,698,698,1396,Detchd,384,153575
291,120,15611,NA,0,1079,840,1919,Attchd,685,233230
292,55,5687,Grvl,0,936,780,1716,NA,0,135900
293,60,11409,NA,0,1148,568,1716,Attchd,281,131000
294,NA,16659,NA,34,1468,795,2263,Attchd,539,235000
295,80,9600,NA,238,1644,0,1644,Attchd,418,167000
296,37,7937,NA,0,1003,0,1003,Detchd,588,142500
297,75,13710,NA,0,910,648,1558,Attchd,282,152000
298,66,7399,Pave,1600,975,975,1950,Detchd,576,239000
299,90,11700,NA,365,1041,702,1743,Attchd,539,175000
300,80,14000,NA,0,1152,0,1152,Attchd,300,158500
301,90,15750,NA,56,1336,0,1336,Attchd,375,157000
302,66,16226,NA,0,1210,1242,2452,BuiltIn,683,267000
303,118,13704,NA,150,1541,0,1541,Attchd,843,205000
304,70,9800,NA,0,894,0,894,Attchd,552,149900
305,87,18386,NA,0,1675,1818,3493,Attchd,870,295000
306,80,10386,NA,246,2000,0,2000,Attchd,888,305900
307,116,13474,NA,246,1122,1121,2243,Attchd,746,225000
308,NA,7920,Grvl,0,1035,371,1406,NA,0,89500
309,NA,12342,NA,0,861,0,861,Detchd,539,82500
310,90,12378,NA,0,1944,0,1944,Attchd,708,360000
311,NA,7685,NA,112,697,804,1501,Attchd,420,165600
312,50,8000,NA,0,972,0,972,Detchd,240,132000
313,65,7800,NA,0,793,325,1118,Detchd,410,119900
314,150,215245,NA,0,2036,0,2036,Attchd,513,375000
315,60,9600,Grvl,0,832,809,1641,Detchd,546,178000
316,71,7795,NA,0,716,716,1432,Attchd,432,188500
317,94,13005,NA,278,1153,1200,2353,Attchd,484,260000
318,75,9000,NA,0,1088,871,1959,Attchd,1025,270000
319,90,9900,NA,256,1372,1274,2646,Attchd,656,260000
320,NA,14115,NA,225,1472,0,1472,Attchd,588,187500
321,111,16259,NA,370,1249,1347,2596,Attchd,840,342643
322,99,12099,NA,388,1136,1332,2468,BuiltIn,872,354000
323,86,10380,NA,172,1553,1177,2730,Attchd,576,301000
324,49,5820,NA,0,1163,0,1163,Attchd,220,126175
325,96,11275,NA,300,1898,1080,2978,BuiltIn,564,242000
326,50,5000,NA,0,803,0,803,Detchd,360,87000
327,32,10846,NA,0,1719,0,1719,Attchd,473,324000
328,80,11600,NA,175,1383,0,1383,Attchd,292,145250
329,NA,11888,Pave,0,1445,689,2134,Detchd,441,214500
330,60,6402,NA,0,596,596,1192,Detchd,189,78000
331,NA,10624,NA,84,1728,0,1728,Detchd,352,119000
332,70,8176,NA,0,1056,0,1056,Attchd,308,139000
333,85,10655,NA,296,1629,0,1629,Attchd,880,284000
334,59,8198,NA,146,1358,0,1358,Attchd,484,207000
335,59,9042,NA,0,943,695,1638,Attchd,472,192000
336,NA,164660,NA,0,1619,167,1786,Attchd,529,228950
337,86,14157,NA,200,1922,0,1922,Attchd,676,377426
338,70,9135,NA,113,1536,0,1536,Attchd,532,214000
339,91,14145,NA,0,1621,0,1621,Attchd,440,202500
340,66,12400,NA,176,1215,0,1215,Attchd,297,155000
341,85,14191,NA,0,993,915,1908,Attchd,431,202900
342,60,8400,NA,0,841,0,841,CarPort,294,82000
343,NA,8544,NA,340,1040,0,1040,Detchd,400,87500
344,63,8849,NA,616,1684,0,1684,Attchd,564,266000
345,36,2592,NA,0,536,576,1112,Attchd,336,85000
346,65,6435,NA,0,972,605,1577,Detchd,312,140200
347,NA,12772,NA,0,958,0,958,Attchd,301,151500
348,NA,17600,NA,30,1478,0,1478,Attchd,498,157500
349,36,2448,NA,106,764,862,1626,BuiltIn,474,154000
350,56,20431,NA,870,1848,880,2728,Attchd,706,437154
351,68,7820,NA,362,1869,0,1869,Attchd,617,318061
352,NA,5271,NA,0,1453,0,1453,Attchd,445,190000
353,60,9084,NA,0,616,495,1111,Detchd,200,95000
354,60,8520,NA,0,720,0,720,Detchd,484,105900
355,60,8400,NA,0,1192,403,1595,Attchd,240,140000
356,105,11249,NA,0,1200,0,1200,Attchd,521,177500
357,NA,9248,NA,106,1167,0,1167,Attchd,400,173000
358,44,4224,NA,0,1142,0,1142,Attchd,528,134000
359,92,6930,NA,120,1352,0,1352,BuiltIn,288,130000
360,78,12011,NA,530,1086,838,1924,Attchd,592,280000
361,NA,7540,NA,0,912,0,912,Attchd,470,156000
362,NA,9144,Pave,0,988,517,1505,Detchd,240,145000
363,64,7301,NA,500,495,1427,1922,BuiltIn,672,198500
364,21,1680,NA,510,483,504,987,Detchd,264,118000
365,NA,18800,NA,120,790,784,1574,Attchd,566,190000
366,59,10690,NA,0,672,672,1344,Detchd,468,147000
