Id,LotFrontage,LotArea,Alley,MasVnrArea,1stFlrSF,2ndFlrSF,GrLivArea,GarageType,GarageArea,SalePrice
367,NA,9500,NA,247,1394,0,1394,Attchd,514,159000
368,101,9150,NA,305,1431,0,1431,Basment,296,165000
369,78,7800,NA,200,1268,0,1268,Attchd,244,132000
370,NA,9830,NA,0,1287,0,1287,Detchd,576,162000
371,NA,8121,NA,0,953,711,1664,Attchd,460,172400
372,80,17120,NA,0,1120,468,1588,Detchd,680,134432
373,50,7175,NA,0,752,0,752,Attchd,264,125000
374,79,10634,NA,0,1319,0,1319,Attchd,270,123000
375,65,8200,NA,0,847,1081,1928,BuiltIn,434,219500
376,NA,10020,NA,0,904,0,904,NA,0,61000
377,57,8846,NA,0,914,0,914,Detchd,576,148000
378,102,11143,NA,0,1580,886,2466,Attchd,610,340000
379,88,11394,NA,350,1856,0,1856,Attchd,834,394432
380,60,8123,NA,16,1007,793,1800,Attchd,463,179000
381,50,5000,Pave,0,1026,665,1691,Detchd,308,127000
382,60,7200,Pave,0,1301,0,1301,Attchd,572,187750
383,79,9245,NA,0,939,858,1797,Attchd,639,213500
384,60,9000,NA,0,784,0,784,Detchd,360,76000
385,NA,53107,NA,0,1079,874,1953,Attchd,501,240000
386,43,3182,NA,16,1269,0,1269,Attchd,430,192000
387,58,8410,NA,0,658,526,1184,NA,0,81000
388,72,7200,NA,255,1125,0,1125,Detchd,352,125000
389,93,9382,NA,125,1479,0,1479,Attchd,577,191000
390,96,12474,NA,272,1742,590,2332,BuiltIn,846,426000
391,50,8405,Grvl,0,961,406,1367,Detchd,384,119000
392,71,12209,NA,0,804,1157,1961,BuiltIn,560,215000
393,NA,8339,NA,0,882,0,882,Attchd,294,106500
394,NA,7446,NA,0,788,0,788,NA,0,100000
395,60,10134,NA,0,735,299,1034,Detchd,240,109000
396,68,9571,NA,0,1144,0,1144,Attchd,596,129000
397,60,7200,NA,0,894,0,894,Detchd,600,123000
398,69,7590,NA,288,876,936,1812,Attchd,264,169500
399,60,8967,NA,0,1077,0,1077,Detchd,338,67000
400,65,8125,NA,100,1112,438,1550,Attchd,438,241000
401,38,14963,NA,0,1288,0,1288,Attchd,500,245500
402,65,8767,NA,0,1310,0,1310,Attchd,400,164990
403,60,10200,NA,0,672,0,672,Detchd,240,108000
404,93,12090,NA,650,1165,1098,2263,BuiltIn,420,258000
405,NA,10364,NA,0,806,766,1572,BuiltIn,373,168000
406,NA,9991,NA,0,1620,0,1620,Attchd,490,150000
407,51,10480,NA,0,1166,0,1639,Detchd,240,115000
408,63,15576,NA,0,840,840,1680,Attchd,308,177000
409,109,14154,NA,350,1071,1101,2172,Attchd,947,280000
410,85,10800,NA,100,1050,1028,2078,Attchd,836,339750
411,68,9571,NA,0,1276,0,1276,Attchd,350,60000
412,100,34650,NA,0,1056,0,1056,Attchd,572,145000
413,NA,4403,NA,432,1478,0,1478,Attchd,484,222000
414,56,8960,Grvl,0,1028,0,1028,Detchd,360,115000
415,59,11228,NA,0,1080,1017,2097,Attchd,678,228000
416,73,8899,NA,0,1340,0,1340,Attchd,396,181134
417,74,7844,NA,203,672,728,1400,Attchd,440,149500
418,86,22420,NA,0,1370,1254,2624,Detchd,864,239000
419,60,8160,NA,0,756,378,1134,Detchd,240,126000
420,65,8450,NA,0,1056,0,1056,Attchd,304,142000
421,78,7060,NA,200,1344,0,1344,Attchd,784,206300
422,NA,16635,NA,126,1602,0,1602,Attchd,529,215000
423,100,21750,NA,0,988,0,988,Attchd,520,113000
424,80,9200,NA,473,1470,1160,2630,Attchd,696,315000
425,72,9000,NA,74,1196,0,1196,Attchd,297,139000
426,60,3378,Grvl,0,707,682,1389,Detchd,240,135000
427,NA,12800,NA,145,1644,0,1644,Attchd,569,275000
428,77,8593,NA,0,907,0,907,Detchd,352,109008
429,64,6762,NA,108,1208,0,1208,Attchd,628,195400
430,130,11457,NA,0,1412,0,1412,Attchd,576,175000
431,21,1680,NA,232,483,504,987,Detchd,264,85400
432,60,5586,NA,0,1088,110,1198,NA,0,79900
433,24,1920,NA,376,765,600,1365,Detchd,440,122500
434,100,10839,NA,0,926,678,1604,Attchd,470,181000
435,21,1890,NA,0,630,0,630,NA,0,81000
436,43,10667,NA,0,827,834,1661,Attchd,550,212000
437,40,4400,NA,0,734,384,1118,Detchd,440,116000
438,50,6000,NA,0,904,0,904,Detchd,180,119000
439,40,4280,NA,0,694,0,694,Detchd,352,90350
440,67,12354,Grvl,0,684,512,1196,Detchd,528,110000
441,105,15431,NA,200,2402,0,2402,Attchd,672,555000
442,92,12108,NA,270,1440,0,1440,NA,0,118000
443,52,6240,NA,0,1128,445,1573,Detchd,360,162900
444,53,3922,NA,72,1258,0,1258,Attchd,648,172500
445,70,8750,NA,0,933,975,1908,Attchd,493,210000
446,73,9855,NA,0,1689,0,1689,Attchd,480,127500
447,137,16492,NA,0,1888,0,1888,Attchd,578,190000
448,NA,11214,NA,0,956,930,1886,Attchd,431,199900
449,50,8600,NA,0,780,596,1376,Detchd,198,119500
450,50,6000,NA,0,679,504,1183,Detchd,308,120000
451,70,5684,NA,0,813,0,813,Detchd,270,110000
452,62,70761,NA,0,1533,0,1533,Attchd,576,280000
453,NA,9303,NA,42,888,868,1756,Attchd,422,204000
454,75,9000,NA,0,786,804,1590,Attchd,676,210000
455,63,9297,NA,0,1728,0,1728,Detchd,560,188000
456,80,9600,NA,320,1242,0,1242,Attchd,528,175500
457,34,4571,Grvl,0,624,720,1344,Detchd,513,98000
458,NA,53227,NA,0,1663,0,1663,Attchd,529,256000
459,NA,5100,Grvl,0,833,833,1666,Detchd,228,161000
460,NA,7015,NA,161,979,224,1203,Detchd,352,110000
461,75,8004,NA,110,832,1103,1935,BuiltIn,552,263435
462,60,7200,NA,0,575,560,1135,Detchd,576,155000
463,60,8281,NA,0,864,0,864,Detchd,360,62383
464,74,11988,NA,0,849,811,1660,Detchd,240,188700
465,60,8430,NA,136,1040,0,1040,NA,0,124000
466,NA,3072,NA,18,1414,0,1414,Attchd,398,178740
467,85,10628,NA,0,1277,0,1277,Attchd,526,167000
468,79,9480,NA,224,888,756,1644,Attchd,312,146500
469,98,11428,NA,248,1634,0,1634,Attchd,866,250000
470,76,9291,NA,120,832,878,1710,Attchd,506,187000
471,NA,6820,NA,0,1502,0,1502,Attchd,528,212000
472,92,11952,NA,0,1161,808,1969,Attchd,534,190000
473,35,3675,NA,80,1072,0,1072,Basment,525,148000
474,110,14977,NA,304,1976,0,1976,Attchd,908,440000
475,41,5330,NA,0,1652,0,1652,Attchd,499,251000
476,80,8480,NA,0,970,0,970,Detchd,624,132500
477,75,13125,NA,215,1493,0,1493,Attchd,508,208900
478,105,13693,NA,772,2069,574,2643,BuiltIn,694,380000
479,79,10637,NA,336,1718,0,1718,Attchd,826,297000
480,50,5925,NA,435,1131,0,1131,Detchd,672,89471
481,98,16033,NA,378,1850,0,1850,Attchd,772,326000
482,72,11846,NA,562,1792,0,1792,Attchd,874,374000
483,50,2500,Pave,0,916,910,1826,Attchd,164,155000
484,32,4500,NA,116,1216,0,1216,Attchd,402,164000
485,NA,7758,NA,0,999,0,999,Detchd,264,132500
486,80,9600,NA,0,1113,0,1113,Attchd,264,147000
487,79,10289,NA,168,1073,0,1073,Attchd,515,156000
488,70,12243,NA,0,1484,0,1484,Attchd,487,175000
489,60,10800,NA,0,1766,648,2414,Attchd,520,160000
490,21,1526,NA,0,630,0,630,Attchd,286,86000
491,NA,2665,NA,0,616,688,1304,BuiltIn,336,115000
492,79,9490,NA,0,958,620,1578,Attchd,240,133000
493,105,15578,NA,0,728,728,1456,Attchd,429,172785
494,70,7931,NA,0,1269,0,1269,Detchd,308,155000
495,50,5784,NA,0,886,0,886,Attchd,273,91300
496,60,7879,NA,0,720,0,720,NA,0,34900
497,NA,12692,NA,0,3228,0,3228,Attchd,546,430000
498,60,9120,Pave,0,1133,687,1820,Detchd,240,184000
499,65,7800,NA,89,899,0,899,Attchd,288,130000
500,70,7535,NA,0,912,0,912,Attchd,297,120000
501,21,1890,NA,285,672,546,1218,Detchd,264,113000
502,75,9803,NA,0,866,902,1768,Attchd,603,226700
503,70,9170,NA,0,1214,0,1214,Detchd,461,140000
504,100,15602,NA,0,1801,0,1801,Attchd,484,289000
505,24,2308,NA,0,855,467,1322,Attchd,440,147000
506,60,7596,Grvl,360,960,1000,1960,Detchd,400,124500
507,80,9554,NA,125,1065,846,1911,Attchd,471,215000
508,75,7862,NA,0,1218,0,1218,Attchd,676,208300
509,60,9600,NA,0,689,689,1378,Detchd,360,161000
510,80,9600,NA,132,1041,0,1041,Attchd,270,124500
511,75,14559,NA,70,1363,0,1363,CarPort,288,164900
512,40,6792,NA,94,1368,0,1368,Attchd,474,202665
513,70,9100,NA,0,864,0,864,Detchd,624,129900
514,71,9187,NA,0,1080,0,1080,Attchd,484,134000
515,55,10594,NA,0,789,0,789,Detchd,200,96500
516,94,12220,NA,305,2020,0,2020,Attchd,900,402861
517,NA,10448,NA,333,1378,741,2119,Attchd,583,158000
518,79,10208,NA,921,1277,1067,2344,Attchd,889,265000
519,NA,9531,NA,0,882,914,1796,Attchd,546,211000
520,53,10918,NA,0,1276,804,2080,Detchd,282,234000
521,60,10800,Grvl,0,694,600,1294,NA,0,106250
522,90,11988,NA,0,1244,0,1244,Attchd,336,150000
523,50,5000,NA,0,1004,660,1664,Detchd,420,159000
524,130,40094,NA,762,3138,1538,4676,BuiltIn,884,184750
525,95,11787,NA,594,1383,1015,2398,Attchd,834,315750
526,62,7500,Pave,0,1266,0,1266,Attchd,453,176000
527,70,13300,NA,0,928,0,928,Attchd,252,132000
528,67,14948,NA,268,1476,1237,2713,Attchd,858,446261
529,58,9098,NA,0,605,0,605,NA,0,86000
530,NA,32668,NA,NA,2515,0,2515,Attchd,484,200624
531,85,10200,NA,219,1509,0,1509,Attchd,600,175000
532,60,6155,NA,0,751,611,1362,Detchd,502,128000
533,60,7200,NA,0,827,0,827,Detchd,392,107500
534,50,5000,NA,0,334,0,334,NA,0,39300
535,74,9056,NA,0,707,707,1414,Attchd,403,178000
536,70,7000,NA,0,820,527,1347,NA,0,107500
537,57,8924,NA,0,880,844,1724,Attchd,527,188000
538,NA,12735,NA,0,864,0,864,Detchd,576,111250
539,NA,11553,NA,188,1159,0,1159,Attchd,336,158000
540,NA,11423,NA,479,1601,0,1601,Attchd,670,272000
541,85,14601,NA,584,1838,0,1838,Attchd,765,315000
542,NA,11000,NA,72,997,1288,2285,BuiltIn,648,248000
543,78,10140,NA,0,1680,0,1680,Attchd,583,213250
544,34,4058,NA,182,767,0,767,Attchd,367,133000
545,58,17104,NA,0,664,832,1496,Attchd,426,179665
546,NA,13837,NA,178,1377,806,2183,Attchd,786,229000
547,70,8737,NA,0,915,720,1635,Detchd,440,210000
548,54,7244,NA,0,768,0,768,Detchd,624,129500
549,49,8235,NA,0,825,0,825,Detchd,720,125000
550,75,9375,NA,0,912,1182,2094,BuiltIn,615,263000
551,53,4043,NA,0,1069,0,1069,Attchd,440,140000
552,50,6000,NA,0,928,0,928,Attchd,288,112500
553,87,11146,NA,250,1717,0,1717,Attchd,908,255500
554,67,8777,NA,0,1126,0,1126,Detchd,520,108000
555,85,10625,NA,292,1006,1040,2046,BuiltIn,871,284000
556,58,6380,NA,0,1048,0,1048,Detchd,280,113000
557,69,14850,NA,0,1092,0,1092,Attchd,299,141000
558,60,11040,NA,0,897,439,1336,CarPort,570,108000
559,57,21872,NA,0,729,717,1446,Attchd,406,175000
560,NA,3196,NA,18,1557,0,1557,Attchd,420,234000
561,NA,11341,NA,180,1392,0,1392,Detchd,528,121500
562,77,10010,NA,0,1389,0,1389,Attchd,418,170000
563,63,13907,NA,0,996,0,996,NA,0,108000
564,66,21780,NA,0,1163,511,1674,Detchd,396,185000
565,NA,13346,NA,0,1166,1129,2295,Attchd,590,268000
566,66,6858,NA,0,841,806,1647,Detchd,216,128000
567,77,11198,NA,245,1134,1370,2504,BuiltIn,656,325000
568,70,10171,NA,168,1535,0,1535,Attchd,532,214000
569,79,12327,NA,0,1496,636,2132,BuiltIn,612,316600
570,NA,7032,NA,0,943,0,943,Detchd,600,135960
571,74,13101,NA,108,1728,0,1728,Detchd,576,142600
572,60,7332,NA,207,864,0,864,Attchd,288,120000
573,83,13159,NA,0,846,846,1692,Attchd,650,224500
574,76,9967,NA,0,774,656,1430,BuiltIn,400,170000
575,70,10500,NA,82,576,533,1109,BuiltIn,288,139000
576,80,8480,NA,0,832,384,1216,Detchd,336,118500
577,52,6292,NA,0,877,600,1477,Detchd,216,145000
578,96,11777,NA,97,1320,0,1320,Attchd,564,164500
579,34,3604,Pave,0,703,689,1392,Detchd,540,146000
580,81,12150,Grvl,335,1050,745,1795,Attchd,352,131500
581,NA,14585,NA,85,1429,0,1429,Attchd,572,181900
582,98,12704,NA,306,2042,0,2042,Attchd,1390,253293
583,81,11841,NA,104,816,0,816,NA,0,118500
584,75,13500,NA,0,1521,1254,2775,Detchd,880,325000
585,51,6120,NA,0,989,584,1573,Detchd,240,133000
586,88,11443,NA,208,2028,0,2028,Attchd,880,369900
587,55,10267,NA,0,838,0,838,Detchd,275,130000
588,74,8740,NA,0,860,0,860,Detchd,528,137000
589,65,25095,NA,0,1473,0,1473,Attchd,452,143000
590,50,9100,NA,0,779,0,935,Detchd,308,79500
591,64,8320,NA,0,770,812,1582,Attchd,520,185900
592,97,13478,NA,420,1728,568,2296,BuiltIn,842,451950
593,60,6600,NA,0,816,0,816,Detchd,816,138000
594,NA,4435,NA,170,848,0,848,Attchd,420,140000
595,88,7990,NA,0,924,0,924,Detchd,280,110000
596,69,11302,NA,238,1826,0,1826,Attchd,758,319000
597,60,3600,Grvl,0,684,684,1368,Detchd,216,114504
598,53,3922,NA,72,1402,0,1402,Attchd,648,194201
599,80,12984,NA,459,1647,0,1647,Attchd,621,217500
600,24,1950,NA,0,716,840,1556,Attchd,452,151000
601,74,10927,NA,280,1058,846,1904,BuiltIn,736,275000
602,50,9000,NA,0,780,595,1375,Detchd,544,141000
603,80,10041,NA,0,927,988,1915,Attchd,506,220000
604,30,3182,Pave,0,600,600,1200,Detchd,480,151000
605,88,12803,NA,99,1494,0,1494,Attchd,530,221000
606,85,13600,NA,176,1186,800,1986,Attchd,486,205000
607,82,12464,NA,0,1040,0,1040,Detchd,576,152000
608,78,7800,NA,0,1112,896,2008,Attchd,230,225000
609,78,12168,NA,0,1940,1254,3194,Basment,380,359100
610,61,7943,NA,192,1029,0,1029,Attchd,261,118500
611,NA,11050,NA,204,1476,677,2153,Attchd,736,313000
612,NA,10395,NA,233,1032,0,1032,Attchd,564,148000
613,NA,11885,NA,108,1299,573,1872,BuiltIn,531,261500
614,70,8402,NA,0,1120,0,1120,NA,0,147000
615,21,1491,NA,0,630,0,630,NA,0,75500
616,80,8800,NA,156,1054,0,1054,Attchd,480,137500
617,NA,7861,NA,0,807,702,1509,Attchd,393,183200
618,59,7227,NA,0,832,0,832,Detchd,528,105500
619,90,11694,NA,452,1828,0,1828,Attchd,774,314813
620,85,12244,NA,226,1482,780,2262,Attchd,749,305000
621,45,8248,Grvl,0,864,0,864,NA,0,67000
622,90,10800,NA,0,1548,1066,2614,Attchd,624,240000
623,71,7064,NA,153,980,0,980,Detchd,484,135000
624,NA,2117,NA,513,756,756,1512,Detchd,440,168500
625,80,10400,NA,288,1012,778,1790,Attchd,484,165150
626,87,10000,NA,261,1116,0,1116,Attchd,440,160000
627,NA,12342,NA,0,1422,0,1422,Attchd,286,139900
628,80,9600,NA,164,1520,0,1520,Basment,364,153000
629,70,11606,NA,192,1040,1040,2080,Attchd,504,135000
630,82,9020,NA,259,1350,0,1350,Attchd,520,168500
631,50,9000,Grvl,0,1089,661,1750,Detchd,240,124000
632,34,4590,NA,108,1554,0,1554,Attchd,627,209500
633,85,11900,NA,209,1411,0,1411,Attchd,544,82500
634,80,9250,NA,0,1056,0,1056,Attchd,260,139400
635,64,6979,NA,0,1056,0,1056,Detchd,576,144000
636,60,10896,Pave,0,1440,1440,3395,NA,0,200000
637,51,6120,NA,0,800,0,800,NA,0,60000
638,50,6000,NA,0,811,576,1387,BuiltIn,256,93000
639,67,8777,NA,0,796,0,796,NA,0,85000
640,53,3982,NA,0,1567,0,1567,Attchd,648,264561
641,62,12677,NA,472,1518,0,1518,Attchd,588,274000
642,NA,7050,NA,0,1057,872,1929,Attchd,650,226000
643,75,13860,NA,0,2000,704,2704,Attchd,538,345000
644,80,10793,NA,263,780,840,1620,Attchd,462,152000
645,85,9187,NA,162,1766,0,1766,Attchd,478,370878
646,NA,10530,NA,0,981,0,981,Detchd,576,143250
647,60,7200,NA,0,1048,0,1048,Detchd,420,98300
648,85,10452,NA,216,1094,0,1094,Attchd,495,155000
649,70,7700,NA,351,1051,788,1839,Attchd,442,155000
650,21,1936,NA,0,630,0,630,NA,0,84500
651,65,8125,NA,NA,822,843,1665,Attchd,562,205950
652,60,9084,NA,0,755,755,1510,Detchd,296,108000
653,70,8750,NA,0,909,807,1716,Attchd,512,191000
654,60,10320,Grvl,0,756,713,1469,Detchd,216,135000
655,91,10437,NA,660,2113,0,2113,Attchd,839,350000
656,21,1680,NA,381,525,567,1092,Detchd,264,88000
657,72,10007,NA,54,1053,0,1053,Attchd,312,145500
658,60,7200,NA,0,851,651,1502,Attchd,270,149000
659,78,17503,NA,0,912,546,1458,Attchd,330,97500
660,75,9937,NA,0,1486,0,1486,Detchd,480,167000
661,NA,12384,NA,233,1142,793,1935,Attchd,550,197900
662,52,46589,NA,528,1686,762,2448,Attchd,711,402000
663,120,13560,NA,216,1392,0,1392,Attchd,576,110000
664,90,10012,NA,0,1181,0,1181,Detchd,588,137500
665,49,20896,NA,0,2097,0,2097,Attchd,1134,423000
666,106,11194,NA,40,1454,482,1936,Attchd,504,230500
667,NA,18450,NA,113,1465,915,2380,CarPort,596,129000
668,65,8125,NA,258,1679,0,1679,Attchd,575,193500
669,NA,14175,NA,0,1437,0,1437,Detchd,576,168000
670,80,11600,NA,0,1180,0,1180,Detchd,252,137500
671,64,8633,NA,0,738,738,1476,Attchd,540,173500
672,54,6629,NA,0,697,672,1369,Detchd,300,103600
673,NA,11250,NA,0,1208,0,1208,Attchd,546,165000
674,110,14442,NA,106,1839,0,1839,Attchd,416,257500
675,80,9200,NA,0,1136,0,1136,Attchd,384,140000
676,24,2289,NA,0,855,586,1441,Attchd,440,148500
677,60,9600,Grvl,0,1095,679,1774,2Types,779,87000
678,52,9022,NA,0,792,0,792,Detchd,240,109500
679,80,11844,NA,464,2046,0,2046,Attchd,834,372500
680,NA,9945,NA,57,988,0,988,Detchd,572,128500
681,50,8012,NA,0,923,0,923,Attchd,264,143000
682,55,4500,Pave,0,848,672,1520,Detchd,281,159434
683,NA,2887,NA,0,1291,0,1291,Attchd,431,173000
684,90,11248,NA,215,1668,0,1668,Attchd,702,285000
685,58,16770,NA,30,1195,644,1839,Attchd,486,221000
686,NA,5062,NA,0,1190,900,2090,Attchd,577,207500
687,84,10207,NA,0,874,887,1761,Attchd,578,227875
688,NA,5105,NA,0,551,551,1102,Detchd,480,148800
689,60,8089,NA,0,1419,0,1419,Attchd,567,392000
690,61,7577,NA,256,1362,0,1362,Attchd,460,194700
691,NA,4426,NA,147,848,0,848,Attchd,420,141000
692,104,21535,NA,1170,2444,1872,4316,Attchd,832,755000
693,42,26178,NA,293,1238,1281,2519,Attchd,628,335000
694,60,5400,NA,0,1073,0,1073,Detchd,326,108480
695,51,6120,NA,0,1067,472,1539,Detchd,576,141500
696,54,13811,NA,72,1137,0,1137,Attchd,551,176000
697,50,6000,NA,0,616,0,616,Detchd,205,89000
698,57,6420,NA,0,1148,0,1148,Detchd,308,123500
699,65,8450,NA,0,894,0,894,Detchd,336,138500
700,59,4282,Pave,0,1391,0,1391,Attchd,530,196000
701,85,14331,NA,630,1800,0,1800,Attchd,765,312500
702,80,9600,NA,168,1164,0,1164,Attchd,528,140000
703,82,12438,NA,466,1264,1312,2576,BuiltIn,666,361919
704,76,7630,NA,0,1032,780,1812,Detchd,672,140000
705,70,8400,NA,109,1484,0,1484,Attchd,606,213000
706,70,5600,NA,0,372,720,1092,NA,0,55000
707,NA,115149,NA,351,1824,0,1824,Attchd,739,302000
708,48,6240,NA,176,1324,0,1324,Attchd,550,254000
709,65,9018,NA,0,728,728,1456,Attchd,400,179540
710,NA,7162,NA,41,904,0,904,Attchd,408,109900
711,56,4130,NA,0,729,0,729,NA,0,52000
712,66,8712,Pave,0,859,319,1178,Detchd,384,102776
713,40,4671,NA,0,1228,0,1228,Attchd,472,189000
714,60,9873,NA,160,960,0,960,Detchd,576,129000
715,NA,13517,NA,289,725,754,1479,Attchd,475,130500
716,78,10140,NA,174,1350,0,1350,Attchd,478,165000
717,60,10800,Grvl,0,1576,978,2554,Detchd,704,159500
718,80,10000,NA,0,1178,0,1178,Attchd,439,157000
719,96,10542,NA,651,1325,1093,2418,Attchd,983,341000
720,69,9920,NA,0,971,0,971,Attchd,300,128500
721,NA,6563,NA,0,1742,0,1742,Attchd,564,275000
722,NA,4426,NA,169,848,0,848,Attchd,420,143000
723,70,8120,NA,0,864,0,864,Detchd,463,124500
724,60,8172,NA,0,997,473,1470,Detchd,548,135000
725,86,13286,NA,340,1698,0,1698,Attchd,768,320000
726,60,6960,NA,0,864,0,864,Detchd,660,120500
727,NA,21695,NA,260,1680,0,1680,Attchd,540,222000
728,64,7314,NA,82,1232,0,1232,Attchd,632,194500
729,85,11475,NA,95,1776,0,1776,Detchd,888,110000
730,52,6240,Grvl,0,848,0,1208,Detchd,539,103000
731,39,5389,NA,0,1616,0,1616,Attchd,608,236500
732,73,9590,NA,442,1146,0,1146,Attchd,438,187500
733,75,11404,NA,202,1153,878,2031,Attchd,541,222500
734,80,10000,NA,0,1144,0,1144,Attchd,264,131400
