User ID,Gender,Age,EstimatedSalary,Purchased
11021175,Male,42,121315,0
17782313,Male,53,67214,0
14603818,Female,59,111005,0
18188198,Female,39,53414,0
19357305,Male,39,114285,0
19524602,Male,39,107458,0
19455396,Female,20,85582,0
16879913,Female,59,148335,1
11838352,Male,48,80579,0
13118940,Female,42,114204,0
19524480,Female,32,87786,0
12784093,Female,49,113544,0
12895966,Male,55,88300,0
14674114,Male,54,147066,0
12393248,Male,57,139622,0
18842131,Male,41,134716,0
11060500,Male,51,116333,1
14887406,Male,55,72567,1
12606442,Male,44,123254,1
17919323,Female,47,113548,1
17207101,Male,52,79343,1
17159912,Female,20,106149,1
10718832,Male,40,59674,1
16952550,Female,52,76333,1
10494682,Male,28,118742,1
16824758,Male,22,105897,1
11168323,Male,25,114815,1
16945283,Female,38,85428,1
13865670,Male,57,114005,0
16924204,Male,57,133402,0
10877441,Male,43,106726,0
16751398,Female,35,84550,1
10393028,Female,34,96296,0
18915643,Female,32,68964,0
12430332,Male,55,90946,0
16222500,Male,48,51787,0
10179619,Female,22,53940,0
19088014,Male,42,138928,0
15101607,Female,59,116474,0
11468592,Female,23,97284,0
19207686,Female,40,132951,0
16970151,Female,24,119308,0
12111836,Male,50,120675,0
19889978,Male,41,113547,0
19252002,Female,52,102686,0
15836350,Male,34,140262,0
15448575,Male,20,54075,0
16700977,Female,25,63715,0
15363592,Male,46,56058,1
19732707,Female,58,65052,0
13316736,Female,38,72107,0
12312881,Female,21,108656,0
14328688,Female,42,120639,0
11182761,Female,31,68033,0
14748686,Female,26,80283,0
12639188,Female,47,60952,0
12748022,Female,31,123137,0
16319219,Male,36,98529,0
12475031,Male,25,121301,0
15626349,Female,28,61144,0
16736728,Male,41,107405,0
10975744,Male,32,87032,0
11737743,Female,53,118544,0
10022583,Male,38,63743,1
12170069,Female,43,53404,0
15582531,Male,34,88672,0
16854184,Male,29,96164,0
19722370,Female,47,123288,0
13180998,Female,31,122623,0
15095883,Female,31,78696,0
11791767,Male,51,142525,0
10834754,Female,59,87656,0
19593586,Female,29,142587,0
13820172,Female,25,136561,0
14277912,Male,59,146860,0
11545934,Male,60,142362,1
14987736,Male,35,69596,0
13303975,Female,26,68131,0
15428925,Female,36,110448,0
13381602,Female,23,83386,0
11361735,Male,58,108578,0
15033754,Male,30,141388,0
19578925,Male,43,149365,0
17612239,Male,56,58313,0
15831720,Female,51,102619,0
14837893,Female,28,55147,1
18542893,Male,41,50075,0
11498000,Female,34,107704,0
15074974,Male,43,114836,0
14944684,Male,47,121827,0
12096012,Male,34,81442,0
12847992,Female,34,107339,0
16451642,Male,26,112221,0
10329710,Female,45,95625,0
17409496,Female,57,122153,0
14132258,Female,51,95670,0
15820590,Female,34,143045,0
16842759,Male,59,137848,1
18373304,Male,36,52183,0
17221149,Female,36,79634,0
18995595,Male,23,113567,0
12604407,Male,54,141579,0
10281197,Female,37,65595,0
19729051,Female,36,112290,1
18441472,Female,34,81496,0
18388568,Male,50,149336,0
15544238,Female,40,75308,0
18736057,Male,52,100654,0
10901997,Male,41,126711,0
16291708,Female,40,108120,0
16479983,Female,49,105753,0
11526539,Female,20,136968,0
14577907,Male,24,93042,0
18422125,Male,28,123123,0
10042352,Male,20,82371,0
13159383,Male,23,124432,0
14865163,Male,39,77263,0
17235614,Male,42,74062,0
14612260,Male,56,66914,0
15340208,Male,20,135880,0
10156616,Female,56,141015,0
10717227,Male,47,56095,0
12799849,Female,54,105953,0
19111319,Male,31,134226,0
16399245,Female,40,140382,0
18472983,Female,52,83150,0
12347876,Male,43,134224,0
10256538,Male,45,56858,0
14247551,Male,58,78749,0
12121770,Female,30,85067,0
18408535,Male,32,126056,0
10918795,Male,25,113954,0
11509789,Male,48,95856,0
19689953,Female,33,97459,0
12994212,Female,47,135037,0
14597040,Male,26,119179,0
17220294,Female,54,149039,0
16208845,Male,45,82604,1
12402908,Female,58,141603,0
17320880,Male,54,78694,0
18858983,Male,57,124533,0
17037885,Female,50,131911,0
12080594,Male,41,59001,0
11736810,Male,46,121055,0
16627100,Female,56,129867,0
11402531,Female,29,92841,0
14021314,Female,30,52952,1
13979829,Female,37,110760,0
16949966,Male,26,118184,0
15122981,Male,33,112314,0
17195037,Female,41,89916,0
12347739,Male,30,121311,0
19368273,Male,35,89632,0
19979945,Female,45,100855,0
18923053,Male,43,65553,0
16921961,Female,54,53506,0
15157393,Male,52,52428,0
14158971,Male,58,82785,0
12234539,Male,30,53649,0
16405725,Female,22,87705,1
12097069,Male,52,89220,1
18337114,Male,46,144559,0
18572665,Female,56,100871,0
17648580,Male,25,144076,0
19937362,Female,22,92835,0
12653285,Female,42,143855,0
19091289,Female,40,134666,0
15409859,Female,58,60780,0
13541455,Male,38,71907,1
14682688,Female,53,117339,0
15865451,Male,24,59930,0
19834427,Male,45,81582,0
13416417,Female,43,105079,0
19552352,Female,54,89483,0
12234839,Female,30,101011,0
14640007,Female,24,63875,0
18785069,Female,43,78367,0
11878299,Male,34,98157,0
14304040,Male,21,67195,0
15837569,Female,27,60011,0
17938720,Male,43,85692,0
10687124,Female,31,122030,0
17091197,Female,35,111404,1
12295226,Male,51,112365,0
14422452,Female,24,145116,0
11263186,Male,53,84777,0
15154279,Female,24,117799,0
12990235,Female,49,123887,0
19056641,Male,37,110617,0
12752547,Male,39,66443,0
17470596,Male,28,74078,0
14135646,Female,34,53024,0
14234957,Male,45,60629,0
18312433,Male,38,96053,0
14120936,Male,37,115700,0
11927854,Male,32,149553,0
17241333,Female,22,54897,0
13300814,Female,57,106814,0
14949334,Male,26,82215,0
18633415,Male,34,97989,0
17247913,Male,34,129656,0
12621151,Male,48,54293,0
18758144,Female,41,115121,1
17663666,Female,47,58050,0
12315820,Female,32,106526,1
14134645,Female,31,66259,0
17904574,Female,56,114193,1
13412808,Female,32,93654,0
16987108,Female,30,90905,1
15553472,Female,32,87630,0
14393136,Female,23,57412,1
11595184,Male,35,138992,1
18606336,Female,55,79423,0
17118629,Male,23,58900,0
10173070,Male,32,79811,0
15631601,Female,42,73731,1
12756732,Male,45,97845,0
19155978,Male,46,124974,0
11550588,Female,25,126831,0
11237646,Male,29,129796,1
15954386,Female,44,113742,0
19084041,Male,46,140395,1
13935210,Male,33,96753,1
17771754,Male,25,73636,1
14161372,Female,54,131776,0
12379581,Male,53,115173,0
13339585,Female,23,132989,1
11988249,Male,55,78749,1
15724644,Female,26,114306,0
18785146,Female,29,144160,1
15500233,Female,59,73810,1
12051463,Male,45,69716,0
18984892,Male,52,103076,1
18876152,Male,31,120701,1
18375345,Female,43,88766,0
14742110,Male,51,145365,1
12889227,Male,39,100402,0
16047909,Female,33,133440,0
17367032,Female,28,79496,0
17286605,Female,42,59216,1
10436602,Male,23,59666,1
15599951,Male,28,96148,0
18548743,Female,57,104693,1
13233232,Female,38,125226,1
11695411,Female,25,64832,0
18129927,Female,44,147276,1
11904328,Female,36,51894,0
17199946,Female,46,87539,1
14386374,Male,44,123166,0
18936622,Female,58,80730,1
17423361,Female,52,61880,0
14359046,Male,55,55940,0
16556264,Female,36,83172,1
11934096,Female,57,62224,1
17637080,Female,29,85752,0
19094298,Female,21,92044,1
13289662,Female,58,114689,0
19318762,Male,25,75753,0
19996164,Female,39,147108,1
19201147,Female,27,116149,1
18852036,Female,41,76066,0
16127707,Male,28,139815,1
16938016,Female,51,89365,1
13015452,Female,30,96984,0
16089472,Male,45,83469,1
19829615,Female,43,123902,1
19792861,Male,31,103674,0
11694399,Male,25,149284,0
11048607,Female,55,101685,1
17740956,Male,29,84375,0
19731398,Female,59,80400,0
16285837,Female,35,116617,1
15065150,Male,48,63697,1
10630252,Male,23,125328,1
15970217,Female,31,115264,1
18461442,Male,22,52203,1
13343624,Male,55,79300,0
19407183,Male,24,118146,1
11974073,Female,45,118915,1
15381306,Female,32,145807,1
13158130,Female,25,89964,1
11234900,Male,57,100193,0
11707144,Male,59,51243,1
18346701,Female,59,96999,1
14552169,Male,51,120749,0
10329979,Female,47,90983,1
18832942,Female,38,66879,0
19251623,Female,59,56930,1
18127250,Male,60,74753,0
10808766,Female,24,142544,1
11863493,Male,56,71895,1
19932508,Male,39,138840,1
15135461,Male,36,73233,1
17639768,Male,37,144858,0
13638592,Female,37,137622,0
15126040,Female,20,61919,0
11253365,Male,59,83724,1
18499298,Female,50,114793,1
10121165,Male,51,117179,0
14964855,Male,60,64051,1
14004679,Female,35,56687,1
16081179,Male,57,101429,1
19469686,Female,43,74931,1
16385762,Male,27,71384,1
17508765,Female,30,130926,0
10719525,Male,22,111072,0
19493665,Female,57,137143,0
14159575,Female,37,65536,1
15978122,Male,25,89304,1
10471705,Female,23,140900,0
14729707,Female,50,136552,0
19378301,Male,54,75491,1
14369586,Female,52,71429,0
18334757,Female,59,81753,1
19857584,Female,44,95919,0
15104674,Female,47,108041,1
10755887,Female,29,83561,1
14710263,Male,47,118252,0
11207716,Male,52,74847,1
10110440,Male,25,58866,0
15759946,Female,38,64972,1
12795571,Female,20,64957,1
11108075,Male,22,111361,0
14565359,Female,43,91205,1
15019695,Female,41,65781,1
12193055,Female,32,126318,0
12104634,Male,23,140167,0
10161659,Female,28,94239,0
18150736,Male,52,125189,1
17821942,Female,52,63103,1
16115725,Male,40,107099,0
10053458,Female,49,59438,1
14405983,Male,36,134882,0
15729876,Male,28,58789,0
18402600,Male,37,145025,1
12942567,Female,22,146149,0
16666460,Male,31,127446,1
10581791,Male,39,83401,0
12761947,Female,21,123460,0
16128956,Male,51,64207,1
12321047,Female,49,128666,1
15454934,Male,48,120137,0
11674669,Female,28,80299,0
18434228,Female,30,104548,1
17334461,Male,24,138809,1
13944750,Female,42,130324,0
15164823,Male,59,139963,1
14123322,Female,60,72905,1
17057160,Male,51,52093,0
13969427,Male,36,119778,0
12128662,Female,33,86617,1
15870229,Male,29,69997,0
15672472,Female,21,89174,1
13697592,Female,44,143222,0
13687850,Male,29,130705,1
19377745,Male,59,80220,1
12360193,Male,28,119752,1
17292492,Female,21,76043,0
15785957,Male,44,145967,1
11104177,Male,25,79824,0
14703584,Male,43,89982,1
19049409,Female,46,147530,1
15238081,Female,36,60575,1
13961765,Female,43,78098,0
17089155,Male,55,81409,1
12297426,Female,28,70948,1
16290815,Female,50,104297,1
12645768,Male,48,127871,1
19702819,Male,33,126297,0
13603624,Female,24,110968,1
10974769,Female,53,91670,1
15997078,Male,39,91484,1
15543007,Female,38,79015,0
12045512,Male,47,105738,1
18148680,Female,60,149376,0
19389802,Female,32,132339,1
14176702,Female,55,65263,0
16272022,Female,43,121151,0
13867391,Male,55,143658,1
14220159,Female,39,107871,1
14988491,Male,35,88727,0
13839143,Male,55,78055,1
13739543,Female,36,58593,1
16476895,Male,27,62004,1
16144247,Female,51,99881,1
19172097,Male,42,72411,1
15679010,Female,47,91721,1
12372850,Male,34,140775,0
18431004,Male,35,79146,1
17054280,Female,58,128623,1
18333359,Male,25,128311,1
13980301,Male,23,72896,1
15750258,Female,57,115969,1
19695633,Male,28,111173,1
13806266,Female,41,107820,0
10220446,Female,20,141231,1
12387292,Male,50,75848,1
10715173,Female,25,82560,1
10016842,Male,55,147667,0
11699655,Female,54,134972,1
